Name,Lat,Long,Lat/Long,Price
DELIGHT DONUT 66-91 FRESH POND ROAD New York NY 11385,40.7061804,-73.8967614,"{lng=-73.8967614, lat=40.7061804}",$6.75 
CONTINENTAL LUNCHEONETTE & DELI 104-03 METROPOLITAN AVENUE New York NY 11375,40.710323,-73.848705,"{lng=-73.848705, lat=40.710323}",$6.00 
BEST DELI CAFE 986 ATLANTIC AVENUE New York NY 11238,40.6802252,-73.9613869,"{lng=-73.9613869, lat=40.6802252}",$4.50 
HANSON GOURMET DELI & CAFE 17 HANSON PLACE New York NY 11217,40.6853237,-73.9776008,"{lng=-73.97760079999999, lat=40.6853237}",$3.50 
FRIENDS DELI 245-05 JAMAICA AVENUE New York NY 11426,40.7234013,-73.7275228,"{lng=-73.7275228, lat=40.7234013}",$4.25 
HIGHWAY DELI AND COFFEE SHOP 61-11 173 STREET New York NY 11365,40.7421943,-73.7889689,"{lng=-73.7889689, lat=40.7421943}",$5.00 
ONE DELI RESTAURANT 536 3 AVENUE New York NY 11215,40.6681669,-73.9800645,"{lng=-73.9800645, lat=40.6681669}",$6.00 
RALPH'S II DELI 200-01 32 AVENUE New York NY 11361,40.7622954,-73.7742616,"{lng=-73.7742616, lat=40.7622954}",$4.00 
CONSTANTINES DELI 20510 48 AVENUE New York NY 11364,40.7469886,-73.7536695,"{lng=-73.7536695, lat=40.7469886}",$5.50 
NEW ANDY'S DELI 873 BROADWAY New York NY 10003,40.7381889,-73.9903303,"{lng=-73.99033030000001, lat=40.7381889}",$4.75 
STROKOS GOURMET DELI 1090 AMSTERDAM AVE New York NY 10025,40.8055078,-73.9625202,"{lng=-73.9625202, lat=40.8055078}",$5.25 
PIZZA HUT DELIVERY 60-51 MYRTLE AVE New York NY 11385,40.700849,-73.896535,"{lng=-73.896535, lat=40.700849}",$5.00 
LAHORE DELICATESSEN 132 CROSBY STREET New York NY 10012,40.7250632,-73.9976946,"{lng=-73.9976946, lat=40.7250632}",$6.25 
STAR LITE DELI 212 WEST 44 STREET New York NY 10036,40.7602619,-73.9932872,"{lng=-73.9932872, lat=40.7602619}",$5.00 
DELIAS LOUNGE CAFE 9224 3 AVENUE New York NY 11209,40.6212119,-74.0329499,"{lng=-74.03294989999999, lat=40.6212119}",$4.75 
NATURALLY DELICIOUS 225 BROADWAY New York NY 10007,40.7119156,-74.0085295,"{lng=-74.0085295, lat=40.7119156}",$5.00 
UNITED GROCERY & DELI 177 HUDSON STREET New York NY 10013,40.722532,-74.008475,"{lng=-74.00847499999999, lat=40.722532}",$4.75 
TIMES DELI & CAFE 158 WEST 44 STREET New York NY 10036,40.7602619,-73.9932872,"{lng=-73.9932872, lat=40.7602619}",$4.75 
KATZ'S DELICATESSEN 205 EAST HOUSTON STREET New York NY 10002,40.7135097,-73.9859414,"{lng=-73.9859414, lat=40.7135097}",$5.00 
CITY ISLAND DELI 520 CITY ISLAND AVE New York NY 10464,40.852584,-73.789134,"{lng=-73.78913399999999, lat=40.852584}",$4.25 
S & T BAGELS & DELI 463 FOREST AVENUE New York NY 10301,40.6306891,-74.1048855,"{lng=-74.1048855, lat=40.6306891}",$4.50 
ALL AMERICAN DELI 42 WATER STREET New York NY 10004,40.703561,-74.010173,"{lng=-74.010173, lat=40.703561}",$4.50 
CHEITO DURAN DELI GROCERY 54-06 FLUSHING AVENUE New York NY 11378,40.714822,-73.913136,"{lng=-73.913136, lat=40.714822}",$4.00 
TOM'S DELICIOUS PIZZA 3161 BROADWAY New York NY 10027,40.8149183,-73.959383,"{lng=-73.959383, lat=40.8149183}",$6.00 
CAFE CELLO DELI 48 WEST 46 STREET New York NY 10036,40.7602619,-73.9932872,"{lng=-73.9932872, lat=40.7602619}",$4.50 
STROKOS PIZZA DELI 888 10 AVENUE New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}",$5.25 
A & B DELI & CATERING 126-20 ROCKAWAY BOULEVARD New York NY 11420,40.674944,-73.810936,"{lng=-73.810936, lat=40.674944}",$4.75 
CHEROKEE DELI 1626 BROADWAY New York NY 11207,40.684789,-73.914368,"{lng=-73.914368, lat=40.68478899999999}",$6.00 
HANOVER GOURMET DELI 3 HANOVER SQUARE New York NY 10004,40.7050324,-74.0097338,"{lng=-74.00973379999999, lat=40.7050324}",$6.50 
SCOTT'S FOOD & DELI 28 WEST 48 STREET New York NY 10036,40.7602619,-73.9932872,"{lng=-73.9932872, lat=40.7602619}",$4.75 
CAFE LA MORENA & DELI 950 3 AVENUE New York NY 11232,40.6560436,-74.0079781,"{lng=-74.0079781, lat=40.6560436}",$6.00 
BIG APPLE DELI 1190 6 AVENUE New York NY 10036,40.7602619,-73.9932872,"{lng=-73.9932872, lat=40.7602619}",$5.25 
HALLMARK DELI 455 NORTH END AVENUE New York NY 10282,40.717521,-74.014503,"{lng=-74.01450299999999, lat=40.717521}",$4.75 
CHINA DELIGHT 722 4 AVENUE New York NY 11232,40.6560436,-74.0079781,"{lng=-74.0079781, lat=40.6560436}",$5.25 
BOULEVARD DELI 3300 NORTHERN BOULEVARD New York NY 11101,40.7517377,-73.9315891,"{lng=-73.9315891, lat=40.7517377}",$6.00 
ROSARIO DELI 22-55 31 STREET New York NY 11105,40.7787902,-73.9065883,"{lng=-73.9065883, lat=40.7787902}",$6.00 
LIBERTY DELI 22 EAST 49 STREET New York NY 10017,40.7519846,-73.9697795,"{lng=-73.9697795, lat=40.7519846}",$6.00 
VISTA HERMOSA DELI RESTAURANT 1201 EVERGREEN AVENUE New York NY 10472,40.8287274,-73.8811705,"{lng=-73.8811705, lat=40.8287274}",$6.75 
POINT VIEW DELI 255 GREENPOINT AVENUE New York NY 11222,40.730884,-73.949413,"{lng=-73.949413, lat=40.730884}",$6.25 
SUNSET RIDGE DELI 5802 5 AVENUE New York NY 11220,40.6385229,-74.0153231,"{lng=-74.0153231, lat=40.6385229}",$3.25 
FORT WASHINGTON BAKERY AND DELI 808 WEST 181 STREET New York NY 10033,40.8508873,-73.9387032,"{lng=-73.93870319999999, lat=40.8508873}",$3.75 
K & H DELI 328 NASSAU AVENUE New York NY 11222,40.7261529,-73.936825,"{lng=-73.936825, lat=40.7261529}",$4.25 
FANCY FOOD DELI 55-14 37 AVENUE New York NY 11377,40.7413334,-73.9036487,"{lng=-73.90364869999999, lat=40.74133339999999}",$6.00 
TULCINGO DELI 111 40-10 JUNCTION BOULEVARD New York NY 11368,40.74885,-73.8692364,"{lng=-73.86923639999999, lat=40.74885}",$3.75 
JOHN'S DELI & GROCERY 6801 5 AVENUE New York NY 11220,40.6385229,-74.0153231,"{lng=-74.0153231, lat=40.6385229}",$4.00 
PLAN DE AYALA DELI-GROCERY 259-261 KINGS HIGHWAY New York NY 11223,40.605505,-73.980986,"{lng=-73.980986, lat=40.605505}",$6.25 
S.R. DELI GROCERY 91-14 43 AVENUE New York NY 11373,40.737975,-73.8801301,"{lng=-73.8801301, lat=40.737975}",$5.25 
ZOIE'S CAFE and DELICATESSEN 49 BEACH STREET New York NY 10013,40.720799,-74.0091255,"{lng=-74.0091255, lat=40.720799}",$5.00 
BROADWAY DELI & BAGEL'S 515 WEST 42 STREET New York NY 10036,40.7602619,-73.9932872,"{lng=-73.9932872, lat=40.7602619}",$3.25 
DELIZIA RISTORANTE 1374 1 AVENUE New York NY 10021,40.7700703,-73.9580246,"{lng=-73.9580246, lat=40.7700703}",$4.00 
GARIBALDI DELI RESTAURANT 100 CANAL STREET New York NY 10304,40.626335,-74.07684,"{lng=-74.07683999999999, lat=40.626335}",$3.25 
SHARAN DELI 314 WEST 39 STREET New York NY 10018,40.755322,-73.9932872,"{lng=-73.9932872, lat=40.755322}",$4.75 
CHRIS SUPER DELI 903 SHERIDAN AVENUE New York NY 10451,40.8270836,-73.9209911,"{lng=-73.9209911, lat=40.8270836}",$3.00 
"DELICIAS CUENCANAS BAR-RESTAURANT DELI, 41-07 99 STREET New York NY 11368",40.7506343,-73.8477874,"{lng=-73.8477874, lat=40.7506343}",$4.50 
BENATERI'S ITALIAN GOURMET DELI 129-21 14 AVENUE New York NY 11356,40.7901266,-73.8477874,"{lng=-73.8477874, lat=40.7901266}",$6.75 
STAR DELI 2718 PITKIN AVENUE New York NY 11208,40.675181,-73.871679,"{lng=-73.871679, lat=40.675181}",$3.50 
BEST OF THE BEST DELICATESSEN 11 PARK PLACE New York NY 10007,40.7130513,-74.0082933,"{lng=-74.00829329999999, lat=40.7130513}",$4.00 
BLINKS DELI 43-01 35 STREET New York NY 11101,40.7443091,-73.9418603,"{lng=-73.9418603, lat=40.7443091}",$6.00 
ONE WAY DELI 26 COURT STREET New York NY 11242,40.6932942,-73.9908107,"{lng=-73.9908107, lat=40.6932942}",$4.50 
SUNSET DELI 4301 4 AVENUE New York NY 11232,40.6560436,-74.0079781,"{lng=-74.0079781, lat=40.6560436}",$6.00 
Andrew & Frank's DELI 2802 23 AVENUE New York NY 11105,40.7787902,-73.9065883,"{lng=-73.9065883, lat=40.7787902}",$5.25 
J.L.H. DELI 307 WEST 38 STREET New York NY 10018,40.755322,-73.9932872,"{lng=-73.9932872, lat=40.755322}",$5.25 
LIEBMAN'S DELI 552 WEST 235 STREET New York NY 10463,40.8803247,-73.9095279,"{lng=-73.9095279, lat=40.8803247}",$5.25 
NEW UNIVERSITY DELI 603 WEST 168 STREET New York NY 10032,40.8409822,-73.9447994,"{lng=-73.9447994, lat=40.8409822}",$6.75 
COUSIN'S DELI RESTAURANT 4102 3 AVENUE New York NY 11232,40.6560436,-74.0079781,"{lng=-74.0079781, lat=40.6560436}",$6.75 
BUTCHER GOURMET DELI 4916 VERNON BOULEVARD New York NY 11101,40.7430108,-73.9542333,"{lng=-73.9542333, lat=40.7430108}",$4.75 
VAN DAM DELI 52-50 VAN DAM STREET New York NY 11101,40.736041,-73.936713,"{lng=-73.936713, lat=40.736041}",$3.25 
LAS DELICIAS 18-01 COLLEGE POINT BOULEVARD New York NY 11356,40.783067,-73.84556,"{lng=-73.84555999999999, lat=40.783067}",$6.25 
MANHATTAN GOURMET DELI 1377 6 AVENUE New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}",$4.50 
CAFE PLAZA DELI 11 BROADWAY New York NY 10004,40.7055269,-74.014346,"{lng=-74.014346, lat=40.7055269}",$3.75 
GO-GO'S DELI & CONVENIENCE 2218 HYLAN BOULEVARD New York NY 10306,40.576258,-74.103343,"{lng=-74.103343, lat=40.576258}",$5.75 
MEXICO LINDO Y ! Q RICO! DELI 497 CONEY ISLAND AVENUE New York NY 11218,40.6454012,-73.9705509,"{lng=-73.97055089999999, lat=40.64540119999999}",$6.25 
KITO DELI 41 WEST 33 STREET New York NY 10001,40.7536854,-73.9991637,"{lng=-73.9991637, lat=40.75368539999999}",$4.25 
ELLEN DELI & GROCERY 289 HUDSON STREET New York NY 10013,40.725708,-74.00781,"{lng=-74.00780999999999, lat=40.725708}",$4.50 
DOMINICAN FOOD R. A. DELI 2180 FOREST AVENUE New York NY 10303,40.6263419,-74.1622795,"{lng=-74.1622795, lat=40.6263419}",$3.25 
MEXICANA DELI GROCERY 339 EAST 204 STREET New York NY 10467,40.8723987,-73.8713099,"{lng=-73.8713099, lat=40.8723987}",$4.75 
BROOKLYN NATIONAL DELI JFK AIRPORT New York NY 11430,40.6413111,-73.7781391,"{lng=-73.77813909999999, lat=40.6413111}",$6.50 
EXPRESS PIZZA AND DELI 90-46 161 STREET New York NY 11432,40.7154518,-73.7919103,"{lng=-73.7919103, lat=40.7154518}",$6.50 
TASTY DELI 775 4 AVENUE New York NY 11232,40.6560436,-74.0079781,"{lng=-74.0079781, lat=40.6560436}",$3.00 
FIVE CORNERS DELI 25-53 18 STREET New York NY 11102,40.7732937,-73.9286341,"{lng=-73.9286341, lat=40.7732937}",$4.75 
SHAMAS DELI 150 WEST 38 STREET New York NY 10018,40.755322,-73.9932872,"{lng=-73.9932872, lat=40.755322}",$5.50 
DOUGLASTON DELICATESSEN 4423 DOUGLASTON PARKWAY New York NY 11363,40.765937,-73.744608,"{lng=-73.744608, lat=40.765937}",$5.00 
38 DELI 968 58 STREET New York NY 11219,40.6310753,-73.9976946,"{lng=-73.9976946, lat=40.6310753}",$3.25 
Tasty Delicious Bakery 1096 RUTLAND ROAD New York NY 11212,40.6643789,-73.923215,"{lng=-73.923215, lat=40.6643789}",$5.00 
DOMAND'S ITALIAN GOURMET DELI & CATERERS 3029 STRATTON ST New York NY 11354,40.7697083,-73.8346909,"{lng=-73.8346909, lat=40.7697083}",$3.75 
25TH DELI 4819 25 AVENUE New York NY 11103,40.7633726,-73.9109977,"{lng=-73.9109977, lat=40.7633726}",$5.00 
K&J PLAZA DELI & SALAD BAR 127 LIVINGSTON STREET New York NY 11201,40.6909916,-73.9886658,"{lng=-73.9886658, lat=40.6909916}",$4.75 
SOON DELI 9221 LIBERTY AVENUE New York NY 11417,40.68039,-73.846144,"{lng=-73.846144, lat=40.68039}",$5.50 
STOP DELI 43-01 31 AVENUE New York NY 11103,40.7633726,-73.9109977,"{lng=-73.9109977, lat=40.7633726}",$3.00 
NICK'S GOURMET DELI 74-15 DITMARS BOULEVARD New York NY 11370,40.768662,-73.894707,"{lng=-73.894707, lat=40.768662}",$6.75 
EL SOL DE MEXICO DELI GROCERY 95-09 SUTPHIN BOULEVARD New York NY 11435,40.7026151,-73.8082507,"{lng=-73.8082507, lat=40.7026151}",$5.50 
BROOK AVENUE DELI & PIZZA 348 BROOK AVENUE New York NY 10454,40.809948,-73.917464,"{lng=-73.917464, lat=40.809948}",$3.75 
HUNAN DELIGHT 752 UNION STREET New York NY 11215,40.6753277,-73.9781954,"{lng=-73.97819539999999, lat=40.6753277}",$4.00 
GREEN TEA DELI 28-18 41 AVENUE New York NY 11101,40.7443091,-73.9418603,"{lng=-73.9418603, lat=40.7443091}",$6.25 
LIBERTY DELI 30 ROCKEFELLER PLAZA New York NY 10112,40.7589426,-73.9793564,"{lng=-73.9793564, lat=40.7589426}",$4.75 
SPARKS DELI RESTAURANT 28-31 BORDEN AVENUE New York NY 11101,40.7389171,-73.9410364,"{lng=-73.9410364, lat=40.73891709999999}",$6.25 
HUNAN DELIGHT MATSUYA 1467 YORK AVENUE New York NY 10075,40.7707045,-73.9512757,"{lng=-73.9512757, lat=40.7707045}",$5.50 
NEW STAR COFFEE SHOP & DELI 3150 BAINBRIDGE AVENUE New York NY 10467,40.8749926,-73.879442,"{lng=-73.87944200000001, lat=40.8749926}",$6.00 
DELI EXPRESS 12605 36 AVENUE New York NY 11368,40.7506343,-73.8477874,"{lng=-73.8477874, lat=40.7506343}",$6.00 
STAR GOURMET DELI & PIZZA 797 6 AVENUE New York NY 10001,40.7536854,-73.9991637,"{lng=-73.9991637, lat=40.75368539999999}",$3.50 
ZANTE DELI RESTAURANT 30-17 39 AVENUE New York NY 11101,40.7443091,-73.9418603,"{lng=-73.9418603, lat=40.7443091}",$3.00 
DELICIOUS CHINESE 1584 ROCKAWAY PARKWAY New York NY 11236,40.6422404,-73.8991196,"{lng=-73.89911959999999, lat=40.6422404}",$4.50 
RUDY'S DELI RESTAURANT 54-30 48 STREET New York NY 11378,40.7224092,-73.9095279,"{lng=-73.9095279, lat=40.7224092}",$6.25 
CHINA DELIGHT RESTAURANT 218-82 HEMPSTEAD AVENUE New York NY 11429,40.712903,-73.735403,"{lng=-73.73540299999999, lat=40.712903}",$3.25 
LITTLE MICHAELS DELI AND SALD BAR 12 EAST GUN HILL ROAD New York NY 10467,40.8961855,-73.8411209,"{lng=-73.84112089999999, lat=40.8961855}",$6.25 
HIS DELI & CAFE 165-54 BAISLEY BOULEVARD New York NY 11434,40.6793722,-73.7777726,"{lng=-73.77777259999999, lat=40.6793722}",$6.50 
DELICIAS MANABITAS RESTAURANT 4205 35 AVENUE New York NY 11101,40.7443091,-73.9418603,"{lng=-73.9418603, lat=40.7443091}",$5.50 
CHOLULA DELI GROCERY 222 WYCKOFF AVENUE New York NY 11237,40.7009654,-73.9141319,"{lng=-73.9141319, lat=40.7009654}",$3.25 
