id,Name,Lat,Long,Lat/Long,Price,boro_name,shape_area,shape_leng,boro_code
64,SCALINI FEDELI 165 DUANE STREET New York NY 10013,40.717431200000000,-74.009316999999996,"{lng=-74.009317, lat=40.7174312}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
65,3 DELI & GRILL 133 EAST 55 STREET New York NY 10022,40.759394100000002,-73.969779500000001,"{lng=-73.9697795, lat=40.7593941}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
75,NEW ANDY'S DELI 873 BROADWAY New York NY 10003,40.738188899999997,-73.990330299999997,"{lng=-73.99033030000001, lat=40.7381889}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
76,STROKOS GOURMET DELI 1090 AMSTERDAM AVE New York NY 10025,40.805507800000001,-73.962520200000000,"{lng=-73.9625202, lat=40.8055078}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
78,LAHORE DELICATESSEN 132 CROSBY STREET New York NY 10012,40.725063200000001,-73.997694600000003,"{lng=-73.9976946, lat=40.7250632}",$6.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
79,STAR LITE DELI 212 WEST 44 STREET New York NY 10036,40.760261900000003,-73.993287199999997,"{lng=-73.9932872, lat=40.7602619}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
81,NATURALLY DELICIOUS 225 BROADWAY New York NY 10007,40.711915599999998,-74.008529499999995,"{lng=-74.0085295, lat=40.7119156}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
82,UNITED GROCERY & DELI 177 HUDSON STREET New York NY 10013,40.722532000000001,-74.008475000000004,"{lng=-74.00847499999999, lat=40.722532}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
83,TIMES DELI & CAFE 158 WEST 44 STREET New York NY 10036,40.760261900000003,-73.993287199999997,"{lng=-73.9932872, lat=40.7602619}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
84,KATZ'S DELICATESSEN 205 EAST HOUSTON STREET New York NY 10002,40.713509700000003,-73.985941400000002,"{lng=-73.9859414, lat=40.7135097}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
87,ALL AMERICAN DELI 42 WATER STREET New York NY 10004,40.703561000000001,-74.010172999999995,"{lng=-74.010173, lat=40.703561}",$4.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
89,TOM'S DELICIOUS PIZZA 3161 BROADWAY New York NY 10027,40.814918300000002,-73.959383000000003,"{lng=-73.959383, lat=40.8149183}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
90,CAFE CELLO DELI 48 WEST 46 STREET New York NY 10036,40.760261900000003,-73.993287199999997,"{lng=-73.9932872, lat=40.7602619}",$4.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
91,STROKOS PIZZA DELI 888 10 AVENUE New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
94,HANOVER GOURMET DELI 3 HANOVER SQUARE New York NY 10004,40.705032400000000,-74.009733800000006,"{lng=-74.00973379999999, lat=40.7050324}",$6.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
95,SCOTT'S FOOD & DELI 28 WEST 48 STREET New York NY 10036,40.760261900000003,-73.993287199999997,"{lng=-73.9932872, lat=40.7602619}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
97,BIG APPLE DELI 1190 6 AVENUE New York NY 10036,40.760261900000003,-73.993287199999997,"{lng=-73.9932872, lat=40.7602619}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
